rebalance_date,asof_date,symbol,score,selected
2017-05-31,2017-03-02,SALM,0.912586494248771,True
2017-05-31,2017-03-02,AFG,0.8129677322571313,True
2017-05-31,2017-03-02,MOWI,0.47856061722049015,True
2017-05-31,2017-03-02,BRG,0.4099262753131342,True
2017-05-31,2017-03-02,VEI,0.3939321662409457,True
2017-05-31,2017-03-02,TEL,0.3733277576977046,False
2017-05-31,2017-03-02,TOM,0.35608891761069694,False
2017-05-31,2017-03-02,ATEA,0.26558726970028834,False
2017-05-31,2017-03-02,GJF,0.20620780487506002,False
2017-05-31,2017-03-02,PROT,0.1759776165353802,False
2017-05-31,2017-03-02,NHY,0.16911178155580892,False
2017-05-31,2017-03-02,ORK,0.04230381631590948,False
2017-05-31,2017-03-02,VEND,0.0009504217726738692,False
2017-05-31,2017-03-02,YAR,-0.16011315569027657,False
2017-05-31,2017-03-02,KOG,-0.18738709329049277,False
2017-05-31,2017-03-02,FRO,-0.2831583207847486,False
2017-05-31,2017-03-02,NOD,-0.3163573381414484,False
2017-05-31,2017-03-02,STB,-0.35958865379560984,False
2017-05-31,2017-03-02,AKRBP,-0.4602366224688486,False
2017-05-31,2017-03-02,EQNR,-0.5451416175743413,False
2017-05-31,2017-03-02,SUBC,-0.8527346263010759,False
2017-05-31,2017-03-02,DNB,-1.5400609967117773,False
2017-06-30,2017-04-01,AFG,0.6683415235787814,True
2017-06-30,2017-04-01,SALM,0.6573940137988962,True
2017-06-30,2017-04-01,MOWI,0.42718787316194956,True
2017-06-30,2017-04-01,BRG,0.40822804086293357,True
2017-06-30,2017-04-01,ATEA,0.32954308101810764,True
2017-06-30,2017-04-01,TOM,0.31650963538135485,False
2017-06-30,2017-04-01,SUBC,0.2709302516380163,False
2017-06-30,2017-04-01,VEI,0.27080061676589967,False
2017-06-30,2017-04-01,VEND,0.1914740285605185,False
2017-06-30,2017-04-01,NHY,0.17458583383960624,False
2017-06-30,2017-04-01,ORK,0.13131321634505652,False
2017-06-30,2017-04-01,GJF,0.12731525356368512,False
2017-06-30,2017-04-01,TEL,0.039740788316735644,False
