ticker,period_end_date,fundamental_score,quality_score,growth_score
PROT,2018-09-30,-0.11953045570560972,-0.22382883280408236,0.19336467558980816
YAR,2018-09-30,-0.12962384622867795,-0.23524494563834264,0.18723945200031616
STB,2018-09-30,-0.23138913665014943,-0.38629383751773916,0.2333249659526197
MPCC,2018-09-30,-1.1175904585394891,-1.4901206113859855,
DNB,2018-09-30,-1.3614198395739192,-1.901511298389928,0.25885453687410725
FRO,2018-09-30,-2.4037073487622997,-1.6970575403401411,-4.523656774028777
SALM,2018-12-31,1.047451401883312,1.102495937249854,0.8823177957836869
ELK,2018-12-31,0.9722603778164709,0.3896077419427436,2.7202182854376526
AFG,2018-12-31,0.9448794501045157,1.1433073626920789,0.3495957123418264
AKRBP,2018-12-31,0.6266596933451789,0.5083834746595752,0.98148834940199
KOG,2018-12-31,0.5569217266199116,0.4136890532794734,0.9866197466412263
EQNR,2018-12-31,0.4621414030556764,0.29929374773607526,0.95068436901448
TOM,2018-12-31,0.32856109574483666,0.2732463199617841,0.4945054230939943
MOWI,2018-12-31,0.31189447326073744,0.3317671614197477,0.25227640878370666
NOD,2018-12-31,0.26039872269053177,0.21789974780915064,0.3878956473346753
GJF,2018-12-31,0.17028453512619646,0.3586380871831646,-0.3947761210447079
ATEA,2018-12-31,0.16580266811562347,0.29829592663432847,-0.2316771074404915
ORK,2018-12-31,0.08582762136891912,0.18613425140883508,-0.2150922687508287
TEL,2018-12-31,0.02390195112073892,0.009507268067776936,0.06708600027962487
BRG,2018-12-31,-0.03899164249269161,0.03189028875142766,-0.2516374362250494
STB,2018-12-31,-0.09998930711987855,-0.38995707965058224,0.7699140104722325
SUBC,2018-12-31,-0.15251075311308795,0.10887676025406579,-0.9366732932145492
NHY,2018-12-31,-0.22124252808780165,-0.024901369776794455,-0.8102660030208232
VEND,2018-12-31,-0.26484663534788505,0.018729669293183843,-1.1155755492710917
VEI,2018-12-31,-0.4981039729885988,-0.195481283761369,-1.4059720406702882
YAR,2018-12-31,-0.5041735768066427,-0.32574578560787804,-1.0394569504029367
PROT,2018-12-31,-0.5050112137879477,-0.29285231505500164,-1.1414879099867856
MPCC,2018-12-31,-1.0477889396623745,-1.3970519195498328,
FRO,2018-12-31,-1.2103025954933821,-1.1083441691377645,-1.5161778745602348
DNB,2018-12-31,-1.4871409077868434,-2.054918145716688,0.21619080600269036
SALM,2019-03-31,1.0185820817629385,1.2739019591687788,0.252622449545417
AFG,2019-03-31,0.7766731202010387,1.0190844547846756,0.04943911645012835
KOG,2019-03-31,0.49605088487496435,0.48920169854058576,0.5165984438781002
ELK,2019-03-31,0.4266979892295037,0.443959294811735,0.3749140724828097
AKRBP,2019-03-31,0.3784717529955773,0.5858556082366746,-0.24367981272771458
EQNR,2019-03-31,0.3744932137054646,0.35008934112963946,0.44770483143294004
MOWI,2019-03-31,0.3451456155312294,0.394080010879983,0.19834242948496855
GJF,2019-03-31,0.32987812639617553,0.33283034799548683,0.32102146159824163
TOM,2019-03-31,0.26543698514034303,0.26073925076754845,0.2795301882587268
MPCC,2019-03-31,0.21084446699365667,-1.1110549138081638,4.176542609399118
ORK,2019-03-31,0.17367189715819117,0.26439596738811644,-0.09850031353158459
ATEA,2019-03-31,0.15986121179738874,0.29455634076150883,-0.24422417509497155
VEND,2019-03-31,0.05860027883420352,0.2958721547909142,-0.6532153490359286
SUBC,2019-03-31,-0.04540815116240235,0.09027883867856965,-0.4524691206853183
BRG,2019-03-31,-0.08251991976460427,-0.035342112181593055,-0.22405334251363787
NOD,2019-03-31,-0.10329344515991806,0.10399818197561936,-0.7251683265665303
STB,2019-03-31,-0.27409132423167776,-0.41474844498898517,0.14788003804024455
NHY,2019-03-31,-0.2876154478616899,-0.138260308122121,-0.7356808670803967
PROT,2019-03-31,-0.35416048081236096,-0.259742670805438,-0.6374139108331297
TEL,2019-03-31,-0.39863517082670685,-0.4468533712655238,-0.25398056951025594
YAR,2019-03-31,-0.4553488574999762,-0.3976996203537181,-0.6282965689387504
